"Code","Company","Sector","Market Cap","alpha","beta","alpha(0) ~ Pr(>|t|)","beta(1) ~ Pr(>|t|)"
"SKC","Skycity Entertainment Group Ltd","Consumer Discretionary","1,134,230,000",0.00270189557930389,1.09673570995613,0.915674943709848,0.537095962160345
"SKI","Spark Infrastructure Group","Utilities","3,357,350,000",-0.0524527476033024,0.635471027216613,0.0165678453367095,0.00700186889087956
"SLR","Silver Lake Resources Ltd","Materials","1,214,180,000",0.0448704157323303,1.07240564989996,0.485439549334324,0.854051970890612
"SOL","Washington H Soul Pattinson & Company Ltd","Energy","4,062,540,000",-0.0721214236916468,0.504066327455296,0.00232099953856841,0.000720738374825177
"SPK","Spark New Zealand Ltd","","7,348,180,000",-0.0446231178348236,0.63878142509416,0.0532147898644035,0.0116789904857894
"SSM","Service Stream Ltd","Industrials","741,619,000",-0.0099538318984097,0.737900836941453,0.769988104387492,0.212288685806907
"STO","Santos Ltd","Energy","7,124,090,000",0.0637938301602437,1.49851616314758,0.146112429641235,0.0655445768528903
"SUL","Super Retail Group Ltd","Consumer Discretionary","914,632,000",0.0378390659981147,1.32075886702766,0.272371240081384,0.131033506075901
"SUN","Suncorp Group Ltd","Financials","11,512,500,000",-0.0242615137770156,0.865315004987627,0.111492425775055,0.148796586103862
"SVW","Seven Group Holdings Ltd","Industrials","3,814,380,000",0.0549407299279451,1.3034425025068,0.158741834935623,0.203541026310768
"SXL","Southern Cross Media Group Ltd","Communication Services","126,887,000",0.0944805366787888,1.79075364318664,0.180738246970549,0.0695933950676425
"SYD","Sydney Airport","Industrials","12,632,400,000",-0.00270080204261424,0.966210797158544,0.894441400685135,0.786657853797664
"TAH","Tabcorp Holdings Ltd","Consumer Discretionary","5,141,750,000",-0.0135311800387013,0.969347019161061,0.533757424862628,0.817902876230689
"TCL","Transurban Group","Industrials","32,930,600,000",-0.0157026935173708,0.859511536077641,0.28185111113279,0.118487301542874
"TGR","Tassal Group Ltd","Consumer Staples","725,812,000",-0.0664433611256719,0.548631387962627,0.00861429365021309,0.00384088695279705
"TLS","Telstra Corporation Ltd","","36,512,400,000",-0.0297932471392166,0.866957573273318,0.167677705672332,0.313069101196316
"TNE","Technology One Ltd","Information Technology","2,549,370,000",-0.0248748427795539,0.759189358490116,0.426729799466365,0.211455797123184
"TPM","TPG Telecom Ltd","","6,392,620,000",-0.0233585730689451,0.879100910432909,0.541509610673986,0.606141089912986
"TWE","Treasury Wine Estates Ltd","Consumer Staples","7,221,050,000",-0.0626320282934908,0.517111210940519,0.0601862740565517,0.0191717944022305
"UMG","United Malt Group Ltd","Consumer Staples","1,118,850,000",0,0,0,0
"URW","Unibail-Rodamco-Westfield","Real Estate","1,317,400,000",0.029911125713892,1.63280370786597,0.578100317675475,0.10328385518086
"VCX","Vicinity Centres","Real Estate","3,848,990,000",-0.00576945314077056,1.05853601210655,0.858544892211032,0.768127851500745
"VEA","Viva Energy Group Ltd","Energy","2,469,560,000",-0.00549721915710405,1.16477689707076,0.901645701275736,0.608257116136205
"VOC","Vocus Group Ltd","","1,539,020,000",-0.052289765962763,0.75821199054915,0.285439912993198,0.419498596141814
"VUK","Virgin Money Uk Plc","Financials","1,124,930,000",0.0757099878948699,1.69895475879802,0.180090986997412,0.0559250550743767
"VVR","Viva Energy REIT","Real Estate","1,795,970,000",-0.0118777538642216,0.916407134768425,0.546738281773247,0.500337984165383
"WBC","Westpac Banking Corporation","Financials","59,592,800,000",-0.0111423806223384,0.980407654647648,0.53204405501281,0.857559048341672
"WEB","Webjet Ltd","Consumer Discretionary","509,860,000",0.0462354840104227,1.28174416933748,0.417326416959843,0.420212956312978
"WES","Wesfarmers Ltd","Consumer Discretionary","38,856,700,000",-0.00490085438279784,0.930824565664123,0.92090151253638,0.819231955587129
"WHC","Whitehaven Coal Ltd","Energy","1,975,140,000",-0.0181479285839874,0.842326321362092,0.756194291413642,0.660130189640604
"WOR","Worley Ltd","Energy","3,200,380,000",0.086909998712393,1.62439953667008,0.0668901785450862,0.0327396311766429
"WOW","Woolworths Group Ltd","Consumer Staples","44,268,800,000",-0.0149416494649453,0.867702179225024,0.410746734434248,0.236445135299262
"WPL","Woodside Petroleum Ltd","Energy","17,378,900,000",-0.0100964173857758,0.994093860238882,0.626085299832288,0.962886132751403
"WSA","Western Areas Ltd","Materials","532,435,000",0.0221036403416384,1.21720131220661,0.594580711287133,0.394661801345595
"WTC","Wisetech Global Ltd","Information Technology","5,443,160,000",-0.0128080600626021,0.721850254733658,0.848765962750179,0.517654092841255
"XRO","Xero Ltd","Information Technology","9,626,940,000",0.0373138285800936,1.10980984382017,0.249501238174688,0.578747155128129
